Modalidade,1,2,3,4,5,6,7,8,9,10,11,12,total do ano
RTSTRUCT,0,0,0,0,0,0,0,0,0,0,0,0,0
US,936,991,1214,905,881,1302,917,1353,721,740,864,599,11423
CR,611,709,958,2521,2511,1224,1930,3517,2123,1030,2328,2088,21550
MR,1445,1747,1231,1165,1899,1758,1725,2280,2214,1316,1404,1891,20075
CT,2474,2749,2191,2962,3139,3686,2669,2864,3216,2677,2225,2346,33198
XA,1561,1356,1592,1323,1004,1870,1713,2153,39,1350,1503,849,16313
SC,0,0,0,0,0,1,0,0,7,0,0,7,15
PR,0,0,5,0,1,0,10,13,0,0,0,2,31
OT,0,0,0,0,0,0,0,0,0,843,743,263,1849
PDF,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,0,0,0,0,0,0,0,0,0,0,0,0
XC,1669,1549,0,0,14,0,0,0,0,0,0,0,3232
SR,172,218,244,221,127,284,203,271,184,234,232,124,2514
KO,0,0,0,0,0,3,0,2,0,0,0,1,6
ECG,0,0,0,0,0,0,0,0,0,0,0,0,0
DX,0,0,0,0,0,0,0,0,0,0,0,0,0
total do mes,8868,9319,7435,9097,9576,10128,9167,12453,8504,8190,9299,8170,110206
